pickup_lat,pickup_lon,drop_lat,drop_lon,distance_km,duration_min,hour,day_of_week,is_weekend,temperature_C,weather,demand,supply,demand_supply_ratio,surge_factor,price_inr,timestamp
19.047378,72.831144,18.990603,72.843779,6.451,13.97,13,6,1,28.6,Clear,123,133,0.92,1.02,138.06,2025-10-26 13:14:36
19.144254,72.80598,18.938734,72.911354,25.395,85.86,1,6,1,32.5,Rain,247,132,1.87,1.29,653.33,2025-10-12 01:32:36
18.945738,72.89644,18.959863,72.88063,2.287,8.7,8,5,1,26.1,Clear,517,166,3.11,1.48,110.79,2025-11-01 08:41:36
18.997853,72.931312,19.18642,72.908905,21.099,115.36,8,4,0,31.9,Thunderstorm,431,116,3.72,1.78,914.78,2025-10-24 08:02:36
19.253969,72.926062,19.07708,72.820992,22.554,50.86,21,0,0,31.7,Clear,51,169,0.3,1.01,406.39,2025-10-20 21:50:36
19.135105,72.940947,19.087168,72.922613,5.668,12.44,13,0,0,32.9,Clouds,148,68,2.18,1.19,146.24,2025-10-13 13:05:36
19.090171,72.798746,19.101509,72.800074,1.268,2.8,22,2,0,27.9,Clear,163,148,1.1,0.97,49.3,2025-11-05 22:25:36
19.224375,72.956851,18.900324,72.914718,36.304,83.78,1,5,1,26.8,Clear,156,65,2.4,1.2,759.86,2025-10-18 01:01:36
18.990221,72.911846,18.965398,72.830694,8.968,18.31,0,5,1,26.5,Clear,76,134,0.57,1,174.24,2025-11-01 00:31:36
19.162766,72.920809,19.002513,72.950567,18.092,37.3,3,2,0,29.8,Clear,159,79,2.01,1.1,353.86,2025-10-22 03:24:36
18.986191,72.877971,18.982165,72.788719,9.395,19.21,10,1,0,32,Clear,146,176,0.83,1.02,184.78,2025-10-21 10:12:36
19.113842,72.85473,18.943324,72.775161,20.724,106.67,19,4,0,24,Thunderstorm,326,5,65.2,2.84,1397.34,2025-10-17 19:32:36
19.182724,72.859128,18.949738,72.877519,25.979,53.85,6,6,1,30.9,Clear,176,93,1.89,1.03,462.92,2025-11-02 06:00:36
19.230315,72.920856,19.028806,72.903548,22.48,47.24,16,0,0,24.8,Clear,125,77,1.62,1.05,413.96,2025-10-13 16:56:36
19.169725,72.962761,18.916338,72.859905,30.178,115.68,17,2,0,27.8,Clear,180,192,0.94,1.09,679.61,2025-10-29 17:15:36
19.121696,72.912144,19.219204,72.921214,10.884,26.09,11,5,1,24.5,Clear,100,60,1.67,1.01,214.91,2025-10-18 11:35:36
19.081981,72.955243,18.932291,72.97434,16.765,65.49,17,0,0,29.7,Clouds,465,30,15.5,2.6,941.64,2025-10-27 17:36:36
18.973259,72.830291,19.144741,72.820841,19.094,39.47,2,2,0,28.6,Clouds,179,198,0.9,0.97,327.92,2025-10-22 02:34:36
18.979201,72.929956,19.132551,72.934476,17.058,31.78,14,2,0,28,Clear,198,55,3.6,1.38,411.61,2025-10-22 14:31:36
19.050797,72.950214,19.119856,72.957728,7.72,16.37,21,5,1,27.7,Clear,87,95,0.92,0.97,150.72,2025-11-01 21:21:36
19.22071,72.96626,18.936946,72.929794,31.785,107.9,19,3,0,27,Clear,470,30,15.67,2.47,1549.22,2025-10-23 19:17:36
19.262347,72.863846,19.184124,72.972086,14.311,30.6,20,6,1,28.7,Clear,130,46,2.83,1.32,347.07,2025-11-02 20:31:36
19.170702,72.810963,19.259174,72.901598,13.688,28.67,5,3,0,25.5,Clear,92,186,0.49,1.01,254.1,2025-10-23 05:39:36
18.909185,72.792835,19.146491,72.792461,26.387,56.73,4,2,0,28.7,Clear,198,69,2.87,1.33,611.93,2025-10-22 04:09:36
19.113775,72.785987,19.248877,72.929253,21.262,79.35,19,2,0,28.7,Clear,320,66,4.85,1.67,741.22,2025-11-05 19:45:36
18.92491,72.942116,19.020234,72.981005,11.361,24.73,6,3,0,28.3,Clear,197,225,0.88,1.01,217.95,2025-10-23 06:02:36
19.178128,72.784976,19.006549,72.840136,19.94,38.74,6,3,0,32.1,Clouds,193,142,1.36,1.01,350.22,2025-11-06 06:21:36
19.224173,72.93696,19.107882,72.895321,13.651,30.6,5,6,1,29.4,Clear,112,151,0.74,1.05,267.76,2025-10-12 05:57:36
19.044424,72.823618,19.00202,72.956379,14.731,32.04,14,4,0,33,Clouds,101,116,0.87,1.01,273.57,2025-11-07 14:24:36
19.245848,72.797043,18.919391,72.805351,36.311,96.47,2,0,0,25.5,Rain,284,11,25.82,2.8,1844.26,2025-10-27 02:55:36
19.012627,72.811302,19.058815,72.881733,9.01,26.71,7,5,1,27.3,Thunderstorm,276,58,4.76,1.79,342.87,2025-11-01 07:55:36
18.948214,72.848622,19.087829,72.886523,16.028,38.37,7,5,1,29.6,Clear,160,186,0.86,0.97,290.11,2025-11-08 07:51:36
19.179144,72.968273,19.245257,72.842803,15.087,34.7,0,2,0,33,Clouds,178,115,1.55,1.05,294.47,2025-11-05 00:14:36
18.949556,72.931728,19.235561,72.940968,31.817,68.51,7,2,0,26.8,Clear,84,32,2.62,1.26,691.52,2025-10-15 07:59:36
19.107991,72.879149,18.95411,72.790684,19.474,38.92,7,3,0,27.5,Clear,200,100,2,1.04,355.2,2025-10-30 07:45:36
18.996729,72.814443,18.980367,72.944206,13.765,32.04,2,1,0,28.5,Clear,178,109,1.63,1.04,269.63,2025-10-21 02:16:36
